类型,根函数名,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Root","[clr.dll]","[clr.dll]",5,5,14.71,14.71,
"Caller","[clr.dll]","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)",1,1,2.94,2.94,
"Caller","[clr.dll]","Trackboard.MainWindow..ctor()",1,1,2.94,2.94,
"Caller","[clr.dll]","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)",1,1,2.94,2.94,
"Caller","[clr.dll]","Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)",1,1,2.94,2.94,
"Caller","[clr.dll]","Trackboard.Meth.CheckLogin(string,string)",1,1,2.94,2.94,
"Root","System.Data.Linq.DataContext.Init(object,class System.Data.Linq.Mapping.MappingSource)","System.Data.Linq.DataContext.Init(object,class System.Data.Linq.Mapping.MappingSource)",1,1,2.94,2.94,
"Caller","System.Data.Linq.DataContext.Init(object,class System.Data.Linq.Mapping.MappingSource)","Trackboard.DATA.GetUsers()",1,1,2.94,2.94,
"Root","System.Data.Linq.DataContext.SubmitChanges(valuetype System.Data.Linq.ConflictMode)","System.Data.Linq.DataContext.SubmitChanges(valuetype System.Data.Linq.ConflictMode)",1,1,2.94,2.94,
"Caller","System.Data.Linq.DataContext.SubmitChanges(valuetype System.Data.Linq.ConflictMode)","Trackboard.DATA.AddUser(class Trackboard.User)",1,1,2.94,2.94,
"Root","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)",17,17,50.00,50.00,
"Caller","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)","Trackboard.DATA.GetCourses()",2,2,5.88,5.88,
"Caller","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)","Trackboard.DATA.GetStudents()",1,1,2.94,2.94,
"Caller","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)","Trackboard.DATA.GetTeachers()",2,2,5.88,5.88,
"Caller","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)","Trackboard.DATA.GetUsers()",12,12,35.29,35.29,
"Root","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)",10,10,29.41,29.41,
"Caller","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)","Trackboard.Meth.Decrypt(string)",3,3,8.82,8.82,
"Caller","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)","Trackboard.Meth.Encrypt(string)",7,7,20.59,20.59,
"Root","Trackboard.DATA.AddUser(class Trackboard.User)","Trackboard.DATA.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Caller","Trackboard.DATA.AddUser(class Trackboard.User)","Trackboard.Meth.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Callee","Trackboard.DATA.AddUser(class Trackboard.User)","System.Data.Linq.DataContext.SubmitChanges(valuetype System.Data.Linq.ConflictMode)",1,1,2.94,2.94,
"Root","Trackboard.DATA.GetCourses()","Trackboard.DATA.GetCourses()",2,0,5.88,0.00,
"Caller","Trackboard.DATA.GetCourses()","Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.DATA.GetCourses()","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)",2,2,5.88,5.88,
"Root","Trackboard.DATA.GetStudents()","Trackboard.DATA.GetStudents()",1,0,2.94,0.00,
"Caller","Trackboard.DATA.GetStudents()","Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0.00,
"Callee","Trackboard.DATA.GetStudents()","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)",1,1,2.94,2.94,
"Root","Trackboard.DATA.GetTeachers()","Trackboard.DATA.GetTeachers()",2,0,5.88,0.00,
"Caller","Trackboard.DATA.GetTeachers()","Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.DATA.GetTeachers()","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)",2,2,5.88,5.88,
"Root","Trackboard.DATA.GetUsers()","Trackboard.DATA.GetUsers()",13,0,38.24,0.00,
"Caller","Trackboard.DATA.GetUsers()","Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)",5,0,14.71,0.00,
"Caller","Trackboard.DATA.GetUsers()","Trackboard.Meth.CheckLogin(string,string)",8,0,23.53,0.00,
"Callee","Trackboard.DATA.GetUsers()","System.Data.Linq.DataContext.Init(object,class System.Data.Linq.Mapping.MappingSource)",1,1,2.94,2.94,
"Callee","Trackboard.DATA.GetUsers()","System.Linq.Enumerable.ToList(class System.Collections.Generic.IEnumerable`1<!!0>)",12,12,35.29,35.29,
"Root","Trackboard.Login..ctor()","Trackboard.Login..ctor()",3,0,8.82,0.00,
"Caller","Trackboard.Login..ctor()","Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)",3,0,8.82,0.00,
"Callee","Trackboard.Login..ctor()","Trackboard.Meth.ReadUData()",3,0,8.82,0.00,
"Root","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)",17,0,50.00,0.00,
"Callee","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)","[clr.dll]",1,1,2.94,2.94,
"Callee","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)","Trackboard.Meth.CheckLogin(string,string)",9,0,26.47,0.00,
"Callee","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)","Trackboard.Meth.SaveUData(class Trackboard.User)",7,0,20.59,0.00,
"Root","Trackboard.MainWindow..ctor()","Trackboard.MainWindow..ctor()",1,0,2.94,0.00,
"Callee","Trackboard.MainWindow..ctor()","[clr.dll]",1,1,2.94,2.94,
"Root","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)","[clr.dll]",1,1,2.94,2.94,
"Callee","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.Meth.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Root","Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetCourses()",2,0,5.88,0.00,
"Root","Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)",3,0,8.82,0.00,
"Callee","Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.Login..ctor()",3,0,8.82,0.00,
"Root","Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0.00,
"Callee","Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)","[clr.dll]",1,1,2.94,2.94,
"Root","Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0.00,
"Callee","Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetStudents()",1,0,2.94,0.00,
"Root","Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetTeachers()",2,0,5.88,0.00,
"Root","Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)",5,0,14.71,0.00,
"Callee","Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetUsers()",5,0,14.71,0.00,
"Root","Trackboard.Meth.AddUser(class Trackboard.User)","Trackboard.Meth.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Caller","Trackboard.Meth.AddUser(class Trackboard.User)","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0.00,
"Callee","Trackboard.Meth.AddUser(class Trackboard.User)","Trackboard.DATA.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Root","Trackboard.Meth.CheckLogin(string,string)","Trackboard.Meth.CheckLogin(string,string)",9,0,26.47,0.00,
"Caller","Trackboard.Meth.CheckLogin(string,string)","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)",9,0,26.47,0.00,
"Callee","Trackboard.Meth.CheckLogin(string,string)","[clr.dll]",1,1,2.94,2.94,
"Callee","Trackboard.Meth.CheckLogin(string,string)","Trackboard.DATA.GetUsers()",8,0,23.53,0.00,
"Root","Trackboard.Meth.Decrypt(string)","Trackboard.Meth.Decrypt(string)",3,0,8.82,0.00,
"Caller","Trackboard.Meth.Decrypt(string)","Trackboard.Meth.ReadUData()",3,0,8.82,0.00,
"Callee","Trackboard.Meth.Decrypt(string)","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)",3,3,8.82,8.82,
"Root","Trackboard.Meth.Encrypt(string)","Trackboard.Meth.Encrypt(string)",7,0,20.59,0.00,
"Caller","Trackboard.Meth.Encrypt(string)","Trackboard.Meth.SaveUData(class Trackboard.User)",7,0,20.59,0.00,
"Callee","Trackboard.Meth.Encrypt(string)","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)",7,7,20.59,20.59,
"Root","Trackboard.Meth.ReadUData()","Trackboard.Meth.ReadUData()",3,0,8.82,0.00,
"Caller","Trackboard.Meth.ReadUData()","Trackboard.Login..ctor()",3,0,8.82,0.00,
"Callee","Trackboard.Meth.ReadUData()","Trackboard.Meth.Decrypt(string)",3,0,8.82,0.00,
"Root","Trackboard.Meth.SaveUData(class Trackboard.User)","Trackboard.Meth.SaveUData(class Trackboard.User)",7,0,20.59,0.00,
"Caller","Trackboard.Meth.SaveUData(class Trackboard.User)","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)",7,0,20.59,0.00,
"Callee","Trackboard.Meth.SaveUData(class Trackboard.User)","Trackboard.Meth.Encrypt(string)",7,0,20.59,0.00,
